,date,VRP
2053,2004-03-31,-74.73342502707476
2054,2004-04-01,-75.71657533001684
2055,2004-04-02,-88.35859969504767
2056,2004-04-05,-96.5321062048013
2057,2004-04-06,-92.73692472507628
2058,2004-04-07,-87.16706693208826
2059,2004-04-08,-81.07435913422256
2060,2004-04-12,-91.89383119602329
2061,2004-04-13,-66.1558765639686
2062,2004-04-14,-87.02215339933605
2063,2004-04-15,-84.57341127021269
2064,2004-04-16,-93.8413639404339
2065,2004-04-19,-87.69838401949127
2066,2004-04-20,-72.29866842810998
2067,2004-04-21,-86.12772260401175
2068,2004-04-22,-96.92254293318828
2069,2004-04-23,-104.47975833284488
2070,2004-04-26,-96.0573495183221
2071,2004-04-27,-91.40393000654268
2072,2004-04-28,-76.73822043318631
2073,2004-04-29,-72.928371329279
2074,2004-04-30,-65.4786393968426
2075,2004-05-03,-73.04547918863244
2076,2004-05-04,-74.21491627301702
2077,2004-05-05,-83.55261718831935
2078,2004-05-06,-67.15361056837116
2079,2004-05-07,-52.76955707953027
2080,2004-05-10,-29.61839157464283
2081,2004-05-11,-47.818323628325686
2082,2004-05-12,-54.03493563741682
2083,2004-05-13,-42.8934551307471
2084,2004-05-14,-48.47854896287987
2085,2004-05-17,-26.49930991238824
2086,2004-05-18,-36.42253079727891
2087,2004-05-19,-42.519481801853715
2088,2004-05-20,-45.11700055101619
2089,2004-05-21,-47.54714017322112
2090,2004-05-24,-52.407233569158564
2091,2004-05-25,-80.12032502742804
2092,2004-05-26,-81.17333750945963
2093,2004-05-27,-89.43900584378682
2094,2004-05-28,-86.06456519402093
2095,2004-06-01,-76.01797985097778
2096,2004-06-02,-78.58172429807661
2097,2004-06-03,-66.14826575812492
2098,2004-06-04,-69.64642106077184
2099,2004-06-07,-86.93073323338183
2100,2004-06-08,-92.39372872824623
2101,2004-06-09,-87.04680766705343
2102,2004-06-10,-91.03268474215187
2103,2004-06-14,-78.5459494287727
2104,2004-06-15,-91.19150770923139
2105,2004-06-16,-94.34172102380114
2106,2004-06-17,-90.21135055620661
2107,2004-06-18,-91.52117591166896
2108,2004-06-21,-88.1918076544321
2109,2004-06-22,-99.02716337716757
2110,2004-06-23,-102.67450402922577
2111,2004-06-24,-93.7781665843084
2112,2004-06-25,-89.43178818933566
2113,2004-06-28,-77.74580692616576
2114,2004-06-29,-85.0001579940112
2115,2004-06-30,-97.80278863723078
2116,2004-07-01,-88.13164692115734
2117,2004-07-02,-90.05925108224963
2118,2004-07-06,-75.98138712671721
2119,2004-07-07,-81.45164956015105
2120,2004-07-08,-76.54220982421401
2121,2004-07-09,-80.78096934786873
2122,2004-07-12,-90.4996230029237
2123,2004-07-13,-95.712766519009
2124,2004-07-14,-103.1966122812027
2125,2004-07-15,-92.3930366477498
2126,2004-07-16,-96.43465919715351
2127,2004-07-19,-87.13614944625135
2128,2004-07-20,-98.39068897313899
2129,2004-07-21,-72.30765264729928
2130,2004-07-22,-81.24354253412992
2131,2004-07-23,-71.93013550666228
2132,2004-07-26,-61.657401601079926
2133,2004-07-27,-71.37775823076777
2134,2004-07-28,-76.73610799424574
2135,2004-07-29,-82.47557930017715
2136,2004-07-30,-86.83100990987066
2137,2004-08-02,-86.16688507110439
2138,2004-08-03,-77.77508743196222
2139,2004-08-04,-75.69113477985371
2140,2004-08-05,-47.40298900222973
2141,2004-08-06,-33.94712828399412
2142,2004-08-09,-41.3932473019085
2143,2004-08-10,-61.16425225059288
2144,2004-08-11,-54.211318630123515
2145,2004-08-12,-39.4347640314823
2146,2004-08-13,-55.698633914528386
2147,2004-08-16,-61.213431791255346
2148,2004-08-17,-69.31844385391008
2149,2004-08-18,-79.42401735834704
2150,2004-08-19,-70.6390143050051
2151,2004-08-20,-81.97509365861822
2152,2004-08-23,-83.61654580893679
2153,2004-08-24,-89.77281131745238
2154,2004-08-25,-93.82711723052739
2155,2004-08-26,-94.46084486509486
2156,2004-08-27,-96.73343820208333
2157,2004-08-30,-88.21120306065245
2158,2004-08-31,-90.27091534738472
2159,2004-09-01,-94.68417523603276
2160,2004-09-02,-101.5619421709421
2161,2004-09-03,-106.17803343629535
2162,2004-09-07,-103.23864408921162
2163,2004-09-08,-102.40338351227399
2164,2004-09-09,-103.03409358222171
2165,2004-09-10,-104.89059001039925
2166,2004-09-13,-111.06543777197314
2167,2004-09-14,-106.40906469850273
2168,2004-09-15,-94.73208494802998
2169,2004-09-16,-96.84721266743506
2170,2004-09-17,-100.78914077578574
2171,2004-09-20,-95.75877753316894
2172,2004-09-21,-104.15311215395087
2173,2004-09-22,-92.36705878070282
2174,2004-09-23,-92.61095313717354
2175,2004-09-24,-98.52138949706526
2176,2004-09-27,-94.44783912532355
2177,2004-09-28,-103.24797606258423
2178,2004-09-29,-109.82672782987487
2179,2004-09-30,-108.29424380066871
2180,2004-10-01,-114.09790360321966
2181,2004-10-04,-108.59005452328768
2182,2004-10-05,-102.35354059753811
2183,2004-10-06,-109.2724845877677
2184,2004-10-07,-96.2488227381508
2185,2004-10-08,-90.40040751728068
2186,2004-10-11,-94.54486608652314
2187,2004-10-12,-90.5601807450212
2188,2004-10-13,-86.24387560544264
2189,2004-10-14,-74.13297582689944
2190,2004-10-15,-91.10444944485593
2191,2004-10-18,-94.93179756493282
2192,2004-10-19,-90.15723810107542
2193,2004-10-20,-93.68444630531425
2194,2004-10-21,-96.98602309462851
2195,2004-10-22,-87.5946184413443
2196,2004-10-25,-72.05225581137182
2197,2004-10-26,-74.4481348179578
